simulation,match_id,round,home_team,away_team,home_goals,away_goals,winner,loser,penalties
10,97,Quarter-final,Germany,Brazil,0,2,Brazil,Germany,False
10,98,Quarter-final,England,Uruguay,0,2,Uruguay,England,False
10,99,Quarter-final,France,Croatia,0,1,Croatia,France,False
10,100,Quarter-final,Turkey,Canada,2,0,Turkey,Canada,False
10,101,Semi-final,Brazil,Uruguay,1,1,Brazil,Uruguay,True
10,102,Semi-final,Croatia,Turkey,1,1,Turkey,Croatia,True
10,103,Third-place playoff,Uruguay,Croatia,3,2,Uruguay,Croatia,False
10,104,Final,Brazil,Turkey,1,0,Brazil,Turkey,False
11,73,Round of 32,South Korea,Switzerland,3,1,South Korea,Switzerland,False
11,74,Round of 32,Brazil,Tunisia,2,0,Brazil,Tunisia,False
11,75,Round of 32,Germany,Paraguay,6,0,Germany,Paraguay,False
11,76,Round of 32,Japan,Haiti,1,1,Haiti,Japan,True
11,77,Round of 32,Ecuador,France,0,1,France,Ecuador,False
11,78,Round of 32,Norway,Netherlands,1,2,Netherlands,Norway,False
11,79,Round of 32,Mexico,Scotland,1,0,Mexico,Scotland,False
11,80,Round of 32,Ghana,Uzbekistan,0,2,Uzbekistan,Ghana,False
11,81,Round of 32,Belgium,Saudi Arabia,3,0,Belgium,Saudi Arabia,False
11,82,Round of 32,Australia,Curaçao,2,0,Australia,Curaçao,False
11,83,Round of 32,Portugal,England,1,1,England,Portugal,True
11,84,Round of 32,Spain,Argentina,2,0,Spain,Argentina,False
11,85,Round of 32,Canada,Jordan,1,1,Canada,Jordan,True
11,86,Round of 32,United States,New Zealand,2,1,United States,New Zealand,False
11,87,Round of 32,Algeria,Uruguay,0,1,Uruguay,Algeria,False
11,88,Round of 32,Colombia,Senegal,1,5,Senegal,Colombia,False
11,89,Round of 16,South Korea,Germany,1,3,Germany,South Korea,False
11,90,Round of 16,Brazil,France,1,1,Brazil,France,True
11,91,Round of 16,Haiti,Netherlands,3,2,Haiti,Netherlands,False
11,92,Round of 16,Mexico,Uzbekistan,2,2,Uzbekistan,Mexico,True
11,93,Round of 16,England,Spain,1,1,England,Spain,True
11,94,Round of 16,Belgium,Australia,1,0,Belgium,Australia,False
11,95,Round of 16,United States,Senegal,1,2,Senegal,United States,False
11,96,Round of 16,Canada,Uruguay,1,1,Uruguay,Canada,True
11,97,Quarter-final,Germany,Brazil,0,1,Brazil,Germany,False
11,98,Quarter-final,England,Belgium,0,1,Belgium,England,False
11,99,Quarter-final,Haiti,Uzbekistan,1,0,Haiti,Uzbekistan,False
11,100,Quarter-final,Senegal,Uruguay,1,3,Uruguay,Senegal,False
11,101,Semi-final,Brazil,Belgium,2,1,Brazil,Belgium,False
11,102,Semi-final,Haiti,Uruguay,0,3,Uruguay,Haiti,False
11,103,Third-place playoff,Belgium,Haiti,0,0,Belgium,Haiti,True
11,104,Final,Brazil,Uruguay,1,2,Uruguay,Brazil,False
12,73,Round of 32,Czech Republic,Switzerland,1,2,Switzerland,Czech Republic,False
12,74,Round of 32,Scotland,Tunisia,0,1,Tunisia,Scotland,False
12,75,Round of 32,Ecuador,South Korea,0,0,Ecuador,South Korea,True
12,76,Round of 32,Netherlands,Morocco,2,1,Netherlands,Morocco,False
12,77,Round of 32,Curaçao,Norway,0,4,Norway,Curaçao,False
12,78,Round of 32,France,Turkey,1,1,Turkey,France,True
12,79,Round of 32,Mexico,Germany,2,0,Mexico,Germany,False
12,80,Round of 32,England,Colombia,1,2,Colombia,England,False
12,81,Round of 32,Iran,Iraq,1,0,Iran,Iraq,False
12,82,Round of 32,Australia,Bosnia and Herzegovina,5,0,Australia,Bosnia and Herzegovina,False
12,83,Round of 32,Portugal,Croatia,1,1,Portugal,Croatia,True
12,84,Round of 32,Spain,Jordan,5,0,Spain,Jordan,False
12,85,Round of 32,Canada,New Zealand,2,0,Canada,New Zealand,False
12,86,Round of 32,Paraguay,Egypt,3,1,Paraguay,Egypt,False
12,87,Round of 32,Argentina,Uruguay,1,0,Argentina,Uruguay,False
12,88,Round of 32,Uzbekistan,Ghana,1,0,Uzbekistan,Ghana,False
12,89,Round of 16,Switzerland,Ecuador,3,0,Switzerland,Ecuador,False
12,90,Round of 16,Tunisia,Norway,1,1,Norway,Tunisia,True
12,91,Round of 16,Netherlands,Turkey,2,1,Netherlands,Turkey,False
12,92,Round of 16,Mexico,Colombia,0,1,Colombia,Mexico,False
12,93,Round of 16,Portugal,Spain,1,2,Spain,Portugal,False
12,94,Round of 16,Iran,Australia,0,1,Australia,Iran,False
12,95,Round of 16,Paraguay,Uzbekistan,1,1,Uzbekistan,Paraguay,True
12,96,Round of 16,Canada,Argentina,1,0,Canada,Argentina,False
12,97,Quarter-final,Switzerland,Norway,3,1,Switzerland,Norway,False
12,98,Quarter-final,Spain,Australia,1,1,Australia,Spain,True
12,99,Quarter-final,Netherlands,Colombia,1,1,Netherlands,Colombia,True
12,100,Quarter-final,Uzbekistan,Canada,2,3,Canada,Uzbekistan,False
12,101,Semi-final,Switzerland,Australia,1,3,Australia,Switzerland,False
12,102,Semi-final,Netherlands,Canada,0,1,Canada,Netherlands,False
12,103,Third-place playoff,Switzerland,Netherlands,0,3,Netherlands,Switzerland,False
12,104,Final,Australia,Canada,3,1,Australia,Canada,False
13,73,Round of 32,South Korea,Switzerland,2,3,Switzerland,South Korea,False
13,74,Round of 32,Scotland,Sweden,1,2,Sweden,Scotland,False
13,75,Round of 32,Germany,United States,2,0,Germany,United States,False
13,76,Round of 32,Tunisia,Morocco,1,1,Morocco,Tunisia,True
13,77,Round of 32,Ivory Coast,Senegal,2,2,Ivory Coast,Senegal,True
13,78,Round of 32,Norway,Japan,2,1,Norway,Japan,False
13,79,Round of 32,Mexico,Brazil,3,2,Mexico,Brazil,False
13,80,Round of 32,Panama,DR Congo,1,0,Panama,DR Congo,False
13,81,Round of 32,Belgium,Saudi Arabia,2,1,Belgium,Saudi Arabia,False
13,82,Round of 32,Turkey,Bosnia and Herzegovina,2,1,Turkey,Bosnia and Herzegovina,False
13,83,Round of 32,Portugal,Croatia,0,0,Croatia,Portugal,True
13,84,Round of 32,Spain,Argentina,0,2,Argentina,Spain,False
13,85,Round of 32,Canada,Egypt,1,0,Canada,Egypt,False
13,86,Round of 32,Australia,New Zealand,4,0,Australia,New Zealand,False
13,87,Round of 32,Algeria,Uruguay,0,2,Uruguay,Algeria,False
13,88,Round of 32,Colombia,Ecuador,3,0,Colombia,Ecuador,False
13,89,Round of 16,Switzerland,Germany,0,1,Germany,Switzerland,False
13,90,Round of 16,Sweden,Ivory Coast,0,1,Ivory Coast,Sweden,False
13,91,Round of 16,Morocco,Norway,0,2,Norway,Morocco,False
13,92,Round of 16,Mexico,Panama,1,2,Panama,Mexico,False
13,93,Round of 16,Croatia,Argentina,3,0,Croatia,Argentina,False
13,94,Round of 16,Belgium,Turkey,2,1,Belgium,Turkey,False
13,95,Round of 16,Australia,Colombia,0,1,Colombia,Australia,False
13,96,Round of 16,Canada,Uruguay,2,2,Canada,Uruguay,True
13,97,Quarter-final,Germany,Ivory Coast,2,2,Ivory Coast,Germany,True
13,98,Quarter-final,Croatia,Belgium,3,2,Croatia,Belgium,False
13,99,Quarter-final,Norway,Panama,0,1,Panama,Norway,False
13,100,Quarter-final,Colombia,Canada,1,1,Canada,Colombia,True
13,101,Semi-final,Ivory Coast,Croatia,3,1,Ivory Coast,Croatia,False
13,102,Semi-final,Panama,Canada,1,2,Canada,Panama,False
13,103,Third-place playoff,Croatia,Panama,1,1,Croatia,Panama,True
13,104,Final,Ivory Coast,Canada,2,3,Canada,Ivory Coast,False
14,73,Round of 32,South Africa,Switzerland,2,1,South Africa,Switzerland,False
14,74,Round of 32,Brazil,Sweden,1,0,Brazil,Sweden,False
14,75,Round of 32,Ivory Coast,Turkey,3,1,Ivory Coast,Turkey,False
14,76,Round of 32,Netherlands,Haiti,1,0,Netherlands,Haiti,False
14,77,Round of 32,Germany,Senegal,1,0,Germany,Senegal,False
14,78,Round of 32,France,Tunisia,1,0,France,Tunisia,False
