date,home_team,away_team,tournament,neutral,home_elo_before,away_elo_before,home_elo_after,away_elo_after,goal_diff,k_base,k_used
1872-11-30,Scotland,England,Friendly,False,1000.0,1000.0,997.1987000039423,1002.8012999960577,0,20,20.0
1873-03-08,England,Scotland,Friendly,False,1002.8012999960577,997.1987000039423,1013.3774691357254,986.6225308642746,2,20,30.0
1874-03-07,Scotland,England,Friendly,False,986.6225308642746,1013.3774691357254,994.5450544823713,1005.4549455176287,1,20,20.0
1875-03-06,England,Scotland,Friendly,False,1005.4549455176287,994.5450544823713,1002.3668916641309,997.6331083358691,0,20,20.0
1876-03-04,Scotland,England,Friendly,False,997.6331083358691,1002.3668916641309,1010.4513868995473,989.5486131004527,3,20,35.0
1876-03-25,Scotland,Wales,Friendly,False,1010.4513868995473,1000.0,1023.4336794470626,987.0177074524847,4,20,37.5
1877-03-03,England,Scotland,Friendly,False,989.5486131004527,1023.4336794470626,971.7281645968061,1041.254127950709,2,20,30.0
1877-03-05,Wales,Scotland,Friendly,False,987.0177074524847,1041.254127950709,970.0532824969065,1058.2185529062872,2,20,30.0
1878-03-02,Scotland,England,Friendly,False,1058.2185529062872,971.7281645968061,1068.4078853249753,961.5388321781179,5,20,40.0
1878-03-23,Scotland,Wales,Friendly,False,1068.4078853249753,970.0532824969065,1080.5071954400532,957.9539723818286,9,20,50.0
1879-01-18,England,Wales,Friendly,False,961.5388321781179,957.9539723818286,968.6427258843121,950.8500786756344,1,20,20.0
1879-04-05,England,Scotland,Friendly,False,968.6427258843121,1080.5071954400532,978.9840800906921,1070.165841233673,1,20,20.0
1879-04-07,Wales,Scotland,Friendly,False,950.8500786756344,1070.165841233673,934.3219941290953,1086.693925780212,3,20,35.0
1880-03-13,Scotland,England,Friendly,False,1086.693925780212,978.9840800906921,1091.3388394635876,974.3391664073166,1,20,20.0
1880-03-15,Wales,England,Friendly,False,934.3219941290953,974.3391664073166,922.6125003654635,986.0486601709484,1,20,20.0
1880-03-27,Scotland,Wales,Friendly,False,1091.3388394635876,922.6125003654635,1097.921310146652,916.030029682399,4,20,37.5
1881-02-26,England,Wales,Friendly,False,986.0486601709484,916.030029682399,971.5116328670836,930.5670569862639,1,20,20.0
1881-03-12,England,Scotland,Friendly,False,971.5116328670836,1097.921310146652,953.0289748215708,1116.4039681921647,5,20,40.0
1881-03-14,Wales,Scotland,Friendly,False,930.5670569862639,1116.4039681921647,916.3573997495388,1130.61362542889,4,20,37.5
1882-02-18,Northern Ireland,England,Friendly,False,1000.0,953.0289748215708,958.0159383821357,995.0130364394352,13,20,60.0
1882-02-25,Wales,Northern Ireland,Friendly,False,916.3573997495388,958.0159383821357,934.0722597137432,940.3010784179313,6,20,42.5
1882-03-11,Scotland,England,Friendly,False,1130.61362542889,995.0130364394352,1138.2956638979986,987.3309979703264,4,20,37.5
1882-03-13,Wales,England,Friendly,False,934.0722597137432,987.3309979703264,947.0663641559951,974.3368935280745,2,20,30.0
1882-03-25,Scotland,Wales,Friendly,False,1138.2956638979986,947.0663641559951,1144.5983054494388,940.7637226045548,5,20,40.0
1883-02-03,England,Wales,Friendly,False,974.3368935280745,940.7637226045548,987.0055000455145,928.0951160871148,5,20,40.0
1883-02-24,England,Northern Ireland,Friendly,False,987.0055000455145,940.3010784179313,1000.5319684644132,926.7746099990326,7,20,45.0
1883-03-10,England,Scotland,Friendly,False,1000.5319684644132,1144.5983054494388,991.7935420153208,1153.3367318985313,1,20,20.0
1883-03-12,Wales,Scotland,Friendly,False,928.0951160871148,1153.3367318985313,916.6436722976542,1164.788175687992,3,20,35.0
1883-03-17,Northern Ireland,Wales,Friendly,False,926.7746099990326,916.6436722976542,923.7068522466731,919.7114300500137,0,20,20.0
1884-01-26,Northern Ireland,Scotland,British Home Championship,False,923.7068522466731,1164.788175687992,905.2606368482155,1183.2343910864495,5,30,60.0
1884-02-09,Wales,Northern Ireland,British Home Championship,False,919.7114300500137,905.2606368482155,941.4503137310293,883.5217531672,6,30,63.75
