simulation,phase,date,home_team,away_team,lambda_home,lambda_away,home_goals,away_goals,elo_diff,home_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_scored,away_avg_goals_conceded,h2h_matches,h2h_home_avg_goals,h2h_away_avg_goals,h2h_home_win_rate,home_wc_participations,away_wc_participations,is_home_home,is_neutral,competition_friendly,competition_qualifier
1,Group stage,2026-06-18,Switzerland,Bosnia and Herzegovina,2.434573173522949,0.7123255729675293,3,0,314.4925730279506,2.3,0.6,2.1,1.3,0.0,2.3,2.1,0.33,13.0,2.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-19,Brazil,Haiti,2.4633126258850098,0.6217758655548096,1,1,384.27862161109033,2.1,0.9,1.1,1.0,0.0,2.1,1.1,0.33,23.0,2.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-19,Scotland,Morocco,0.9442877769470215,1.511948823928833,1,3,-133.16926788723208,1.7,0.9,1.6,0.6,0.0,1.7,1.6,0.33,9.0,7.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-19,Turkey,Paraguay,1.2660014629364014,1.2843841314315796,1,1,8.411748919090314,1.9,1.4,1.0,1.2,0.0,1.9,1.0,0.33,3.0,9.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-19,United States,Australia,1.3298312425613403,1.3154420852661133,1,2,-120.99084129438143,1.7,1.7,1.5,0.9,1.0,2.0,1.0,1.0,12.0,7.0,1.0,0.0,0.0,0.0
1,Group stage,2026-06-20,Ecuador,Curaçao,2.3366386890411377,0.6384405493736267,1,1,363.6367773473819,0.7,0.5,1.5,1.7,0.0,0.7,1.5,0.33,5.0,1.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-20,Germany,Ivory Coast,1.7737822532653809,0.8891798853874207,3,1,149.81554149781573,2.7,0.9,1.8,0.7,0.0,2.7,1.8,0.33,21.0,4.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-20,Netherlands,Sweden,2.0660011768341064,1.1381193399429321,0,1,142.0030099032324,2.8,0.9,1.6,1.8,0.0,2.8,1.6,0.33,12.0,14.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-20,Tunisia,Japan,0.6564843058586121,1.9763165712356567,2,3,-340.43008320517447,1.3,1.1,2.1,0.6,0.0,1.3,2.1,0.33,7.0,8.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-21,Belgium,Iran,1.3608405590057373,1.2894057035446167,1,0,-5.5642932894641035,3.6,1.1,1.5,0.7,0.0,3.6,1.5,0.33,15.0,7.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-21,New Zealand,Egypt,1.0176825523376465,1.3899180889129639,3,3,-90.46589175764802,0.8,1.6,1.5,0.7,1.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-21,Spain,Saudi Arabia,3.0225844383239746,0.4749733805656433,3,1,548.7686815894945,2.8,0.4,0.9,1.4,0.0,2.8,0.9,0.33,17.0,7.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-21,Uruguay,Cape Verde,2.193951368331909,0.6656901240348816,2,1,324.3035150543376,1.1,0.7,1.4,1.2,0.0,1.1,1.4,0.33,15.0,1.0,0.0,1.0,0.0,0.0
